SampleName	ReadLength	TotalBase	ReadCount	GC	Q20Ratio	Q30Ratio
WT_ND_1_Ao_S13	76	1446672008	19035158	46.0	0.99996	0.954
WT_ND_2_Ao_S14	76	1433199412	18857887	46.0	0.99996	0.955
WT_ND_3_Ao_S15	76	1467762768	19312668	47.0	0.99994	0.954
WT_HFD_1_Ao_S16	76	1410658724	18561299	45.0	0.99997	0.955
WT_HFD_2_Ao_S17	76	1732840584	22800534	45.0	0.99996	0.955
WT_HFD_3_Ao_S18	76	1523526020	20046395	46.0	0.99997	0.955
ob_ob_ND_1_Ao_S19	76	1444903260	19011885	46.0	0.99997	0.955
ob_ob_ND_2_Ao_S20	76	1516640572	19955797	44.0	0.99999	0.958
ob_ob_ND_3_Ao_S21	76	1533530432	20178032	46.0	0.99999	0.955
ob_ob_HFD_1_Ao_S22	76	1381904808	18182958	46.0	0.99991	0.957
ob_ob_HFD_2_Ao_S23	76	1406188100	18502475	44.0	0.99996	0.958
ob_ob_HFD_3_Ao_S24	76	1571964544	20683744	46.0	0.99996	0.955
