SampleName	ReadLength	TotalBase	ReadCount	GC	Q20Ratio	Q30Ratio
WT_ND_1_Ep_S13	76	1214119988	15975263	49.0	0.99991	0.958
WT_ND_2_Ep_S14	76	1224297756	16109181	49.0	0.99995	0.96
WT_ND_3_Ep_S15	76	1271944740	16736115	50.0	0.99996	0.959
WT_HFD_1_Ep_S16	76	1335300316	17569741	50.0	0.99998	0.96
WT_HFD_2_Ep_S17	76	1339438060	17624185	50.0	0.99996	0.96
WT_HFD_3_Ep_S18	76	1202526644	15822719	49.0	0.99997	0.96
ob_ob_ND_1_Ep_S19	76	1171565688	15415338	49.0	0.99996	0.961
ob_ob_ND_2_Ep_S20	76	1274035804	16763629	49.0	0.99997	0.961
ob_ob_ND_3_Ep_S21	76	1221761636	16075811	49.0	0.99997	0.961
ob_ob_HFD_1_Ep_S22	76	1142647156	15034831	49.0	0.9999	0.962
ob_ob_HFD_2_Ep_S23	76	1234608980	16244855	50.0	0.99997	0.962
ob_ob_HFD_3_Ep_S24	76	1266878048	16669448	49.0	0.99997	0.961
