SampleName	ReadLength	TotalBase	ReadCount	GC	Q20Ratio	Q30Ratio
WT_ND_1_He_S1	76	1306196648	17186798	45.0	0.99999	0.971
WT_ND_2_He_S2	76	1234967700	16249575	44.0	0.99996	0.973
WT_ND_3_He_S3	76	1347761732	17733707	45.0	0.99997	0.967
WT_HFD_1_He_S4	76	1340645776	17640076	44.0	0.99999	0.973
WT_HFD_2_He_S5	76	1435657480	18890230	44.0	0.99999	0.974
WT_HFD_3_He_S6	76	1291325044	16991119	44.0	0.99992	0.972
ob_ob_ND_1_He_S7	76	1193990704	15710404	44.0	0.99993	0.972
ob_ob_ND_2_He_S8	76	1262219704	16608154	44.0	0.99986	0.972
ob_ob_ND_3_He_S9	76	1357931520	17867520	45.0	0.99998	0.972
ob_ob_HFD_1_He_S10	76	1327968672	17473272	45.0	0.99999	0.973
ob_ob_HFD_2_He_S11	76	1304058160	17158660	44.0	0.99992	0.97
ob_ob_HFD_3_He_S12	76	1311000760	17250010	44.0	0.99998	0.974
