SampleName	ReadLength	TotalBase	ReadCount	GC	Q20Ratio	Q30Ratio
WT_ND_1_Hi_S1	76	1452750488	19115138	50.0	0.99997	0.967
WT_ND_2_Hi_S2	76	1356709364	17851439	49.0	0.99995	0.968
WT_ND_3_Hi_S3	76	1191072456	15672006	49.0	0.99989	0.96
WT_HFD_1_Hi_S4	76	1325234724	17437299	49.0	0.99997	0.968
WT_HFD_2_Hi_S5	76	1393737552	18338652	50.0	0.99995	0.968
WT_HFD_3_Hi_S6	76	1221050048	16066448	50.0	0.99992	0.966
ob_ob_ND_1_Hi_S7	76	1240623544	16323994	49.0	0.99993	0.967
ob_ob_ND_2_Hi_S8	76	1315414232	17308082	49.0	0.99992	0.967
ob_ob_ND_3_Hi_S9	76	1386854308	18248083	49.0	0.99997	0.968
ob_ob_HFD_1_Hi_S10	76	1287181904	16936604	49.0	0.99988	0.968
ob_ob_HFD_2_Hi_S11	76	1264381068	16636593	49.0	0.99972	0.962
ob_ob_HFD_3_Hi_S12	76	1299709136	17101436	48.0	0.99995	0.969
