SampleName	ReadLength	TotalBase	ReadCount	GC	Q20Ratio	Q30Ratio
WT_ND_1_Hy_S13	76	1272885468	16748493	48.0	0.99988	0.965
WT_ND_2_Hy_S14	76	1249641248	16442648	48.0	0.99992	0.967
WT_ND_3_Hy_S15	76	1275710236	16785661	49.0	0.9999	0.966
WT_HFD_1_Hy_S16	76	1256665928	16535078	49.0	0.99995	0.966
WT_HFD_2_Hy_S17	76	1300598944	17113144	49.0	0.99991	0.966
WT_HFD_3_Hy_S18	76	1361767468	17917993	49.0	0.99992	0.966
ob_ob_ND_1_Hy_S19	76	1269672112	16706212	49.0	0.99989	0.967
ob_ob_ND_2_Hy_S20	76	1359737128	17891278	49.0	0.99994	0.968
ob_ob_ND_3_Hy_S21	76	1339532984	17625434	49.0	0.99996	0.967
ob_ob_HFD_1_Hy_S22	76	1219137584	16041284	49.0	0.99986	0.968
ob_ob_HFD_2_Hy_S23	76	1237591828	16284103	49.0	0.99994	0.968
ob_ob_HFD_3_Hy_S24	76	1299466696	17098246	48.0	0.99995	0.968
