SampleName	ReadLength	TotalBase	ReadCount	GC	Q20Ratio	Q30Ratio
WT_ND_1_Li_S1	76	1396723820	18377945	47.0	0.99998	0.965
WT_ND_2_Li_S2	76	1325831172	17445147	48.0	0.99998	0.965
WT_ND_3_Li_S3	76	1212186624	15949824	48.0	0.99993	0.957
WT_HFD_1_Li_S4	76	1330224884	17502959	48.0	0.99998	0.965
WT_HFD_2_Li_S5	76	1250782388	16457663	48.0	0.99997	0.965
WT_HFD_3_Li_S6	76	1256042500	16526875	46.0	0.99994	0.964
ob_ob_ND_1_Li_S7	76	1280748048	16851948	48.0	0.99996	0.965
ob_ob_ND_2_Li_S8	76	1330468616	17506166	49.0	0.99994	0.963
ob_ob_ND_3_Li_S9	76	1312619712	17271312	49.0	0.99998	0.964
ob_ob_HFD_1_Li_S10	76	1219354108	16044133	49.0	0.99994	0.965
ob_ob_HFD_2_Li_S11	76	1235934648	16262298	48.0	0.99983	0.958
ob_ob_HFD_3_Li_S12	76	1232026956	16210881	48.0	0.99996	0.966
