mouse	blood	weight	fasting_glucose	brain	Li	mesenteric_fact	Ep	reteroperitoneal_fact
WT_ND_1	8	32.3	168	0.476	1.198	0.368	1.521	0.725
WT_ND_2	9	32	197	0.482	1.194	0.336	1.307	0.625
WT_ND_3	10	32.1	180	0.477	1.208	0.431	1.309	0.635
WT_HFD_1	9	50.1	239	0.476	3.006	1.203	1.14	2.057
WT_HFD_2	10	46.4	259	0.399	2.645	1.371	1.412	2.112
WT_HFD_3	11	47.7	188	0.462	2.227	1.428	1.497	1.827
ob/ob_ND_1	9	68.2	160	0.376	4.529	2.105	2.583	4.983
ob/ob_ND_2	10	67.3	181	0.356	3.99	1.723	2.369	4.858
ob/ob_ND_3	11	71.3	173	0.362	4.261	1.76	2.964	5.652
ob/ob_HFD_1	12	71.2	110	0.343	3.035	1.454	2.022	5.475
ob/ob_HFD_2	13	72.3	118	0.359	3.567	1.577	2.019	6.865
ob/ob_HFD_3	14	80.8	117	0.336	3.352	1.901	2.624	6.431
